S/N,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10_None,A10_Chemical Prevention,A10_Rouging,A10_Virus_Free,A10_Virus_Resistant,A10_Phytosanitation,A10_Others,A_11_Neighbouring_Farms,A_11_Farmers Association,A_11_Research_Institutes,A_11_Extenstion Officer,A_11_Previous_planting_season,B1,B2,B3,B4,B5_None,B5_Chemical Prevention,B5_Rouging,B5_Virus_Free,B5_Virus_Resistant,B5_Phytosanitation,B5_Others,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9_Training,C9_Financial_Support,C9_Inputs,D1,D2,D3,D4,D5,D6,D7_Regular_Visits,D7_Inputs,D7_Financial Support,D7_Training,D8_Trainng,D8_Financial_Support,D8_Inputs,E1,E2,E3,E4,E5,E6,E7,E8
31,4,1,1,0,2,10,1,FBS,2,0,0,0,1,0,0,0,1,1,0,0,0,0,99,1,99,0,0,0,1,0,1,0,1,99,2,2,0,99,1,99,2,1,1,1,0,1,1,0,99,1,3,2,99,0,1,1,0,0,1,1,0,99,0,99,0,99,2,1
32,9,1,0,1,10,10,1,RIFAN,0,0,0,0,0,0,1,0,0,1,0,0,1,0,99,1,99,0,1,0,0,0,0,0,0,1,3,2,0,99,1,99,2,0,1,1,1,0,0,0,99,0,4,99,99,1,0,0,0,0,0,1,0,99,0,99,0,99,1,2
33,9,1,1,0,15,20,1,MAIZE,2,1,0,0,0,0,0,0,0,0,1,0,0,0,99,1,99,0,0,0,0,0,0,1,0,1,2,2,0,99,1,99,2,0,1,1,0,1,0,0,99,0,4,99,99,1,0,0,0,0,0,1,0,99,0,99,1,oyo,0,2
34,9,1,0,1,5,10,1,MBATYOUGH FARMERS COOPERATIVE SOCIETY,1,0,0,0,1,0,1,0,0,0,0,0,1,0,99,1,99,0,1,0,0,0,0,0,0,1,2,2,0,99,1,99,1,0,1,1,1,0,1,0,99,1,3,<1,99,1,0,0,0,0,0,1,0,99,0,99,1,oyo,1,2
35,11,1,1,1,50,35,1,MAIZE GROWERS ASS.,0,0,0,0,0,0,0,1,0,1,0,0,0,0,99,1,99,0,0,0,0,0,0,0,0,5,1,2,0,99,1,99,1,0,1,1,0,0,1,0,99,1,2,>1,99,0,0,0,1,0,0,1,0,99,0,99,0,99,0,2
36,11,1,0,99,32,25,1,AFAN,0,1,0,0,0,0,0,0,1,0,0,0,0,0,99,1,99,0,0,0,0,0,1,0,1,99,2,2,0,99,1,99,1,0,1,1,1,1,0,0,99,0,4,99,99,1,0,0,0,0,1,1,0,99,0,99,1,lafia nassarrawa,2,1
37,11,0,0,1,20,30,1,MAIZE GROWERS ASS.,0,0,0,0,0,0,1,0,0,0,1,0,0,0,99,1,99,0,0,0,1,0,1,0,1,99,3,2,0,99,1,99,2,1,1,1,1,0,0,0,99,0,4,>1,99,0,0,0,1,1,0,0,0,99,0,99,0,99,2,1
38,3,1,1,1,10,15,1,AFAN,1,1,0,0,0,0,0,0,1,0,1,0,0,0,99,1,99,0,0,0,0,0,0,1,0,1,2,1,0,99,1,99,1,1,1,1,1,0,1,0,99,1,3,0,99,1,0,0,1,0,0,1,99,99,99,99,99,99,99,99
39,3,1,1,1,8,6,0,99,1,0,0,0,0,1,0,0,0,0,1,0,0,0,99,1,99,0,0,0,0,0,1,1,1,99,3,2,0,99,1,99,1,0,0,1,99,99,99,0,99,0,99,99,99,99,99,99,99,99,99,99,0,99,0,99,0,99,1,1
40,3,0,0,99,5,5,0,99,1,0,0,0,0,0,1,0,1,1,0,0,0,0,99,1,99,0,0,0,0,0,1,0,0,3,2,2,0,99,1,99,2,1,1,1,0,1,1,0,99,0,99,99,99,1,0,0,0,0,0,1,0,99,0,99,0,99,0,1
41,3,1,1,1,10,5,0,99,1,0,0,0,0,1,1,0,0,0,1,0,0,0,99,1,99,0,0,0,0,0,1,1,1,99,2,2,0,99,1,99,2,0,1,1,0,1,1,0,99,0,99,99,99,1,0,0,0,0,0,1,0,99,0,99,0,99,1,1
42,5,0,1,0,0.405,12,1,99,1,0,0,0,1,0,1,0,0,0,0,1,0,0,99,1,99,0,0,0,1,0,1,0,0,3,3,1,0,99,1,99,2,0,0,1,0,0,1,0,99,1,1,<1,99,0,0,0,1,1,0,0,0,99,0,99,0,99,0,2
43,5,0,0,99,5,6,1,AFAN,0,0,0,0,1,0,1,0,0,1,0,0,0,0,99,99,99,0,0,0,0,1,0,0,0,1,3,2,0,99,1,99,1,1,1,1,0,1,1,0,99,0,4,>1,99,1,0,0,0,0,0,1,0,99,0,99,0,99,1,1
44,5,1,0,1,10,18,1,AFAN,0,0,0,0,0,0,1,0,0,1,0,0,0,0,99,1,99,0,0,0,0,0,0,1,1,99,3,2,0,99,1,99,2,0,1,1,1,0,0,0,99,1,3,>1,99,1,0,0,0,1,0,0,0,99,0,99,0,99,99,99
45,5,1,0,0,4.05,<1,0,99,1,0,0,0,0,0,1,0,0,0,1,0,0,0,99,1,99,0,0,0,0,0,0,1,0,4,3,2,0,99,1,99,2,0,1,1,1,0,1,0,99,0,99,never,99,1,1,0,1,0,1,1,0,99,0,99,0,99,2,2
46,12,1,1,1,10,12,1,COMAFAS,0,1,0,0,0,0,0,0,1,0,0,0,0,0,99,1,99,0,0,0,1,0,0,0,1,99,2,2,0,99,1,99,2,0,0,1,1,0,0,0,99,1,2,>1,99,1,0,0,1,0,1,1,0,99,0,99,1,nassarrawa/ ondo,0,1
47,12,1,1,1,4,5,1,NFEAA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,99,1,99,0,0,0,0,0,1,0,1,99,3,1,0,99,1,99,2,0,1,1,1,0,0,0,99,0,4,>1,99,0,1,0,0,0,1,0,0,99,0,99,0,99,2,2
48,12,0,1,1,8,12,1,NFEAA,2,0,0,0,1,1,1,0,1,0,0,0,1,0,99,1,99,0,0,0,1,0,0,0,1,99,3,2,0,99,1,99,2,1,1,1,1,1,1,0,99,0,4,never,99,0,0,0,0,1,0,0,0,99,0,99,0,99,0,2
49,2,1,0,1,8,3,0,99,1,0,0,0,0,0,1,0,0,1,0,0,0,0,99,1,99,0,0,0,0,0,0,1,1,99,2,2,0,99,1,99,1,0,1,1,1,0,1,0,99,1,3,8,99,1,0,0,0,0,0,1,0,99,0,99,0,99,2,2
50,2,0,1,0,5,6,0,99,3,0,0,0,0,0,1,0,0,1,0,0,0,0,99,1,99,0,0,0,0,0,1,1,0,2,2,2,0,99,1,99,2,0,1,1,0,1,0,0,99,1,3,>1,99,1,0,0,1,0,0,1,0,99,0,99,1,ogun ,0,1
51,1,0,1,0,5,8,1,JOINT FARMERS COMMUNITY INITIATIVE OF NIG.,0,0,1,0,0,0,1,0,1,0,0,0,0,0,99,1,99,0,0,0,0,0,0,1,0,4,2,1,0,99,1,99,1,1,1,1,1,1,0,0,99,99,3,>1,99,1,0,0,0,0,0,1,0,99,0,99,0,99,0,1
